Data operazione;Nome;Divisa;Causale;Prezzo;Divisa;Cambio;Quantità;Controvalore in Euro;Data valuta
15/08/2025;BTP 15/02/29 0,45%;EUR;CEDOLA;0,00;EUR;1;50000;98,44;15/08/2025
01/08/2025;BTP 1/08/30 0.95%;EUR;CEDOLA;0,00;EUR;1;50000;207,81;01/08/2025
01/08/2025;BTP 01/08/31 0,60%;EUR;CEDOLA;0,00;EUR;1;50000;131,25;01/08/2025
24/07/2025;BTP 01/03/35 3,35%;EUR;ACQ.CONT.SU MERC.;99,95;EUR;1;50000;50.683,13;28/07/2025
24/07/2025;BTP 1/3/32 1,65%;EUR;ACQ.CONT.SU MERC.;92,43;EUR;1;50000;46.603,73;28/07/2025
01/06/2025;BTP 1/12/2026 1.25%;EUR;CEDOLA;0,00;EUR;1;40000;218,75;02/06/2025
26/05/2025;BTP 20-25 1.40FOICUM;EUR;TITOLI SCADUTI;100,80;000;1;0;95.665,00;26/05/2025
26/05/2025;BTP 20-25 1.40FOICUM;EUR;CEDOLA;0,00;EUR;1;95000;1506,00;26/05/2025
25/05/2025;BTP PIU 25-2-33 CUM;EUR;CEDOLA;0,00;EUR;1;15000;93,52;26/05/2025
21/05/2025;BTP 05/26 0.55FOICUM;EUR;CEDOLA;0,00;EUR;1;30000;348,57;21/05/2025
17/05/2025;BTP 17-11-28 FUT CUM;EUR;CEDOLA;0,00;EUR;1;85000;223,12;19/05/2025
16/05/2025;BTP FUT 16-11-33 CUM;EUR;CEDOLA;0,00;EUR;1;55000;180,47;16/05/2025
28/04/2025;BTP 19-27 0.65FOICUM;EUR;CEDOLA;0,00;EUR;1;40000;404,14;28/04/2025
28/04/2025;BTP 19-27 0.65%FOIEX;EUR;CEDOLA;0,00;EUR;1;35000;353,62;28/04/2025
27/04/2025;BTP FUT 27-04-37 CUM;EUR;CEDOLA;0,00;EUR;1;20000;65,62;28/04/2025
17/02/2025;BTP PIU 25-2-33 CUM;EUR;ACQ.CONT.SU MERC.;100,00;EUR;1;15000;15.000,00;25/02/2025
15/02/2025;BTP 15/02/29 0,45%;EUR;CEDOLA;0,00;EUR;1;50000;98,44;17/02/2025
01/02/2025;BTP 1/08/30 0.95%;EUR;CEDOLA;0,00;EUR;1;50000;207,81;03/02/2025
01/02/2025;BTP 01/08/31 0,60%;EUR;CEDOLA;0,00;EUR;1;50000;131,25;03/02/2025
01/12/2024;BTP 1/12/2026 1.25%;EUR;CEDOLA;0,00;EUR;1;40000;218,75;02/12/2024
26/11/2024;BTP 20-25 1.40FOICUM;EUR;CEDOLA;0,00;EUR;1;95000;1028,03;26/11/2024
21/11/2024;BTP 05/26 0.55FOICUM;EUR;CEDOLA;0,00;EUR;1;30000;219,59;21/11/2024
17/11/2024;BTP 17-11-28 FUT CUM;EUR;CEDOLA;0,00;EUR;1;85000;223,12;18/11/2024
16/11/2024;BTP FUT 16-11-33 CUM;EUR;CEDOLA;0,00;EUR;1;55000;180,47;18/11/2024
28/10/2024;BTP 19-27 0.65FOICUM;EUR;CEDOLA;0,00;EUR;1;40000;345,50;28/10/2024
28/10/2024;BTP 19-27 0.65%FOIEX;EUR;CEDOLA;0,00;EUR;1;35000;302,31;28/10/2024
27/10/2024;BTP FUT 27-04-37 CUM;EUR;CEDOLA;0,00;EUR;1;20000;65,62;28/10/2024
15/08/2024;BTP 15/02/29 0,45%;EUR;CEDOLA;0,00;EUR;1;50000;98,44;15/08/2024
01/08/2024;BTP 1/08/30 0.95%;EUR;CEDOLA;0,00;EUR;1;50000;207,81;01/08/2024
01/08/2024;BTP 01/08/31 0,60%;EUR;CEDOLA;0,00;EUR;1;50000;131,25;01/08/2024
13/06/2024;AMUNDI PRIMO INV LC;EUR;VERS.TITOLI;4,98;EUR;1;618.458;0,00;07/06/2024
10/06/2024;AMUNDI PRIMO INV LC;EUR;VERS.TITOLI;5,26;EUR;1;624.36;0,00;07/06/2024
10/06/2024;AMUNDI PRIMO INV LC;EUR;VERS.TITOLI;5,26;EUR;1;624.36;0,00;07/06/2024
05/06/2024;BTP 1/12/2026 1.25%;EUR;GIRO ALTRO DOSSIER;95,14;EUR;1;14000;0,00;05/06/2024
05/06/2024;BTP 05/26 0.55FOICUM;EUR;GIRO ALTRO DOSSIER;96,42;EUR;1;10000;0,00;05/06/2024
05/06/2024;BTP 19-27 0.65FOICUM;EUR;GIRO ALTRO DOSSIER;95,10;EUR;1;14000;0,00;05/06/2024
05/06/2024;BTP 19-27 0.65%FOIEX;EUR;GIRO ALTRO DOSSIER;95,10;EUR;1;12000;0,00;05/06/2024
05/06/2024;BTP 1/08/30 0.95%;EUR;GIRO ALTRO DOSSIER;86,09;EUR;1;17000;0,00;05/06/2024
05/06/2024;BTP 20-25 1.40FOICUM;EUR;GIRO ALTRO DOSSIER;98,73;EUR;1;32000;0,00;05/06/2024
05/06/2024;BTP 17-11-28 FUT CUM;EUR;GIRO ALTRO DOSSIER;88,48;EUR;1;29000;0,00;05/06/2024
05/06/2024;BTP 01/08/31 0,60%;EUR;GIRO ALTRO DOSSIER;81,58;EUR;1;17000;0,00;05/06/2024
05/06/2024;BTP FUT 27-04-37 CUM;EUR;GIRO ALTRO DOSSIER;72,61;EUR;1;7000;0,00;05/06/2024
05/06/2024;BTP FUT 16-11-33 CUM;EUR;GIRO ALTRO DOSSIER;80,16;EUR;1;19000;0,00;05/06/2024
05/06/2024;BTP 15/02/29 0,45%;EUR;GIRO ALTRO DOSSIER;87,52;EUR;1;17000;0,00;05/06/2024
05/06/2024;BTP 1/12/2026 1.25%;EUR;GIRO ALTRO DOSSIER;97,24;EUR;1;13000;0,00;05/06/2024
05/06/2024;BTP 05/26 0.55FOICUM;EUR;GIRO ALTRO DOSSIER;100,00;EUR;1;10000;0,00;05/06/2024
05/06/2024;BTP 19-27 0.65FOICUM;EUR;GIRO ALTRO DOSSIER;100,00;EUR;1;13000;0,00;05/06/2024
05/06/2024;BTP 19-27 0.65%FOIEX;EUR;GIRO ALTRO DOSSIER;99,18;EUR;1;12000;0,00;05/06/2024
05/06/2024;BTP 1/08/30 0.95%;EUR;GIRO ALTRO DOSSIER;94,97;EUR;1;17000;0,00;05/06/2024
05/06/2024;BTP 20-25 1.40FOICUM;EUR;GIRO ALTRO DOSSIER;100,00;EUR;1;32000;0,00;05/06/2024
05/06/2024;BTP 17-11-28 FUT CUM;EUR;GIRO ALTRO DOSSIER;100,00;EUR;1;28000;0,00;05/06/2024
05/06/2024;BTP 01/08/31 0,60%;EUR;GIRO ALTRO DOSSIER;90,48;EUR;1;17000;0,00;05/06/2024
05/06/2024;BTP FUT 27-04-37 CUM;EUR;GIRO ALTRO DOSSIER;100,00;EUR;1;7000;0,00;05/06/2024
05/06/2024;BTP FUT 16-11-33 CUM;EUR;GIRO ALTRO DOSSIER;100,00;EUR;1;18000;0,00;05/06/2024
05/06/2024;BTP 15/02/29 0,45%;EUR;GIRO ALTRO DOSSIER;93,69;EUR;1;17000;0,00;05/06/2024
05/06/2024;BTP 1/12/2026 1.25%;EUR;GIRO ALTRO DOSSIER;97,24;EUR;1;13000;0,00;05/06/2024
05/06/2024;BTP 05/26 0.55FOICUM;EUR;GIRO ALTRO DOSSIER;100,00;EUR;1;10000;0,00;05/06/2024
05/06/2024;BTP 19-27 0.65FOICUM;EUR;GIRO ALTRO DOSSIER;100,00;EUR;1;13000;0,00;05/06/2024
05/06/2024;BTP 19-27 0.65%FOIEX;EUR;GIRO ALTRO DOSSIER;99,18;EUR;1;11000;0,00;05/06/2024
05/06/2024;BTP 1/08/30 0.95%;EUR;GIRO ALTRO DOSSIER;94,97;EUR;1;16000;0,00;05/06/2024
05/06/2024;BTP 20-25 1.40FOICUM;EUR;GIRO ALTRO DOSSIER;100,00;EUR;1;31000;0,00;05/06/2024
05/06/2024;BTP 17-11-28 FUT CUM;EUR;GIRO ALTRO DOSSIER;100,00;EUR;1;28000;0,00;05/06/2024
05/06/2024;BTP 01/08/31 0,60%;EUR;GIRO ALTRO DOSSIER;90,48;EUR;1;16000;0,00;05/06/2024
05/06/2024;BTP FUT 27-04-37 CUM;EUR;GIRO ALTRO DOSSIER;100,00;EUR;1;6000;0,00;05/06/2024
05/06/2024;BTP FUT 16-11-33 CUM;EUR;GIRO ALTRO DOSSIER;100,00;EUR;1;18000;0,00;05/06/2024
05/06/2024;BTP 15/02/29 0,45%;EUR;GIRO ALTRO DOSSIER;93,69;EUR;1;16000;0,00;05/06/2024
